日期,證券代號,證券名稱,產業別,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
20180102,0050,元大台灣50,ETF,"3,613,199","1,795","298,033,251",82.15,82.60,82.15,82.60,+,0.45,82.55,212,82.60,123,0.00,"1,646,000",0,"1,646,000",0,0,0,"333,000",0,"333,000","326,000","247,000",0,"247,000","91,000","12,000","79,000","2,305,000"
20180103,0050,元大台灣50,ETF,"7,196,437","3,014","599,476,413",82.95,83.45,82.95,83.35,+,0.75,83.35,157,83.40,28,0.00,"2,154,000","1,000","2,153,000",0,0,0,0,0,0,"3,534,000","294,000","250,000","44,000","3,527,000","37,000","3,490,000","5,687,000"
20180104,0050,元大台灣50,ETF,"5,627,565","2,278","469,312,820",83.50,83.65,83.20,83.50,+,0.15,83.45,380,83.50,44,0.00,"1,631,000","13,000","1,618,000",0,0,0,0,"200,000","-200,000","2,389,000","195,000",0,"195,000","2,526,000","332,000","2,194,000","3,807,000"
20180105,0050,元大台灣50,ETF,"7,616,796","2,562","636,768,692",83.50,83.80,83.30,83.75,+,0.25,83.75,102,83.80,400,0.00,"5,761,000","12,000","5,749,000",0,0,0,0,0,0,"548,000","94,000",0,"94,000","1,141,000","687,000","454,000","6,297,000"
20180108,0050,元大台灣50,ETF,"5,189,611","2,282","435,775,639",83.80,84.15,83.70,84.10,+,0.35,84.05,334,84.10,51,0.00,"3,723,000","202,000","3,521,000",0,0,0,0,0,0,"-173,000","73,000","15,000","58,000","115,000","346,000","-231,000","3,348,000"
20180109,0050,元大台灣50,ETF,"3,664,716","1,340","308,057,554",84.10,84.25,83.90,84.15,+,0.05,84.10,796,84.15,6,0.00,"1,823,000","8,000","1,815,000",0,0,0,0,0,0,"-819,000","69,000",0,"69,000","399,000","1,287,000","-888,000","996,000"
20180110,0050,元大台灣50,ETF,"5,749,597","1,073","482,358,793",84.10,84.25,83.55,83.75,-,0.4,83.70,11,83.75,62,0.00,"322,000","20,000","302,000",0,0,0,0,0,0,"-2,161,000","212,000","126,000","86,000","678,000","2,925,000","-2,247,000","-1,859,000"
20180111,0050,元大台灣50,ETF,"2,579,225",735,"214,867,793",83.65,83.70,83.10,83.40,-,0.35,83.35,41,83.40,115,0.00,"2,000","745,000","-743,000",0,0,0,0,0,0,"-608,000","83,000","61,000","22,000","199,000","829,000","-630,000","-1,351,000"
20180112,0050,元大台灣50,ETF,"2,871,193","1,002","241,214,778",83.55,84.20,83.50,84.10,+,0.7,84.05,488,84.10,9,0.00,"810,000","849,000","-39,000",0,0,0,0,0,0,"1,327,000","119,000",0,"119,000","1,263,000","55,000","1,208,000","1,288,000"
20180115,0050,元大台灣50,ETF,"2,819,852","1,126","238,493,616",84.55,84.70,84.40,84.65,+,0.55,84.65,185,84.70,217,0.00,"788,000","707,717","80,283",0,0,0,0,0,0,"1,229,000","333,000","3,000","330,000","980,000","81,000","899,000","1,309,283"
