error,info_name,date
Crawer,,
can not craw,stock,20170102
can not craw,stock,20170125
can not craw,stock,20170126
can not craw,stock,20170127
can not craw,stock,20170130
can not craw,stock,20170131
can not craw,stock,20170201
can not craw,stock,20170227
can not craw,stock,20170228
can not craw,stock,20170403
can not craw,stock,20170404
can not craw,stock,20170501
can not craw,stock,20170529
can not craw,stock,20170530
Crawer,,
Crawer,,
can not craw,stock,20180101
can not craw,stock,20180125
can not craw,stock,20180213
can not craw,stock,20180214
can not craw,stock,20180215
can not craw,stock,20180216
can not craw,stock,20180219
can not craw,stock,20180220
can not craw,stock,20180228
can not craw,stock,20180404
can not craw,stock,20180405
can not craw,stock,20180406
can not craw,stock,20180501
can not craw,stock,20180618
can not craw,stock,20180924
can not craw,stock,20181010
can not craw,stock,20181231
can not craw,stock,20190101
=====,=====,=====
Crawer,,
can not craw,tii_net,20180101
Crawer,,
