"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","14,271.62","+","87.86","0.62",
"發行量加權股價報酬指數","18,351.03","+","116.28","0.64",
"臺灣公司治理100報酬指數","6,803.26","+","35.40","0.52",
"臺灣50報酬指數","13,915.08","+","89.32","0.65",
"臺灣中型100報酬指數","12,547.93","+","87.63","0.70",
"臺灣資訊科技報酬指數","16,868.79","+","158.55","0.95",
"臺灣發達報酬指數","13,647.11","+","60.01","0.44",
"臺灣高股息報酬指數","11,625.26","+","54.62","0.47",
"臺灣就業99報酬指數","8,091.73","+","50.94","0.63",
"臺灣高薪100報酬指數","6,781.89","+","37.29","0.55",
"臺灣低波動高股息報酬指數","3,486.85","+","19.89","0.57",
"未含金融電子股報酬指數","21,477.68","+","73.49","0.34",
"小型股300報酬指數","7,027.91","+","50.45","0.72",
"水泥類報酬指數","179.30","+","0.38","0.21",
"食品類報酬指數","2,095.81","+","23.52","1.13",
"塑膠類報酬指數","401.70","-","1.46","-0.36",
"紡織纖維類報酬指數","665.45","-","0.08","-0.01",
"電機機械類報酬指數","259.72","-","0.47","-0.18",
"電器電纜類報酬指數","64.35","+","1.10","1.74",
"化學生技醫療類報酬指數","136.31","+","0.51","0.38",
"化學類報酬指數","152.09","+","0.61","0.40",
"生技醫療類報酬指數","81.54","+","0.28","0.34",
"玻璃陶瓷類報酬指數","60.73","-","0.39","-0.64",
"造紙類報酬指數","338.69","-","1.55","-0.46",
"鋼鐵類報酬指數","143.71","+","1.02","0.71",
"橡膠類報酬指數","396.03","+","0.08","0.02",
"汽車類報酬指數","341.56","+","4.25","1.26",
"電子類報酬指數","699.62","+","6.01","0.87",
"半導體類報酬指數","246.93","+","2.43","0.99",
"電腦及週邊設備類報酬指數","168.13","+","0.48","0.29",
"光電類報酬指數","54.20","+","1.49","2.83",
"通信網路類報酬指數","220.20","+","2.33","1.07",
"電子零組件類報酬指數","151.03","+","0.31","0.21",
"電子通路類報酬指數","212.29","+","1.04","0.49",
"資訊服務類報酬指數","158.74","+","1.10","0.70",
"其他電子類報酬指數","133.20","+","0.01","0.01",
"建材營造類報酬指數","406.26","+","5.30","1.32",
"航運類報酬指數","88.40","+","2.64","3.08",
"觀光類報酬指數","161.26","-","2.47","-1.51",
"金融保險類報酬指數","1,684.25","+","6.56","0.39",
"貿易百貨類報酬指數","307.64","+","2.83","0.93",
"油電燃氣類報酬指數","192.61","-","0.82","-0.42",
"其他類報酬指數","361.43","+","1.83","0.51",
"臺灣生技報酬指數","5,206.79","+","21.96","0.42",
"臺灣永續報酬指數","5,398.12","+","28.10","0.52",
"漲升股利150報酬指數","6,465.30","+","30.00","0.47",
"漲升股利100報酬指數","6,400.34","+","28.90","0.45",
"藍籌 30 報酬指數","5,835.95","+","23.58","0.41",
"工業菁英 30 報酬指數","6,141.67","+","13.18","0.22",
"電子菁英 30 報酬指數","6,066.11","+","37.25","0.62",
"低波動精選 30 報酬指數","5,855.96","+","36.63","0.63",
"低貝塔 100 報酬指數","5,675.13","+","41.50","0.74",
"中小型精選50報酬指數","5,877.56","+","107.32","1.86",
"中小型A級動能50報酬指數","6,389.05","+","31.96","0.50",
"特選高息低波報酬指數","5,301.24","+","4.48","0.08",
"特選內需高收益報酬指數","5,187.48","+","52.19","1.02",
"特股高息20報酬指數","--","","--","--",
"台灣500報酬指數","--","","--","--",
