"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"0050","元大台灣50","3,613,199","1,795","298,033,251","82.15","82.60","82.15","82.60","+","0.45","82.55","212","82.60","123","0.00",
"0051","元大中型100","9,100","8","287,540","31.70","31.70","31.31","31.67"," ","0.00","31.60","100","31.67","9","0.00",
"0052","富邦科技","3,150","5","168,550","53.55","53.55","53.50","53.50","+","0.65","53.50","1","53.65","10","0.00",
"0053","元大電子","11,100","11","392,110","35.29","35.36","35.25","35.36","+","0.03","35.39","100","35.71","8","0.00",
"0054","元大台商50","2,000","2","47,940","23.97","23.97","23.97","23.97","+","0.02","23.93","100","23.97","2","0.00",
"0055","元大MSCI金融","65,000","21","1,059,920","16.20","16.35","16.20","16.35","+","0.09","16.33","50","16.35","4","0.00",
"0056","元大高股息","1,868,451","733","46,856,990","25.00","25.14","25.00","25.13","+","0.13","25.13","4","25.14","49","0.00",
"0057","富邦摩台","0","0","0","--","--","--","--"," ","0.00","49.30","1","49.53","20","0.00",
"0058","富邦發達","0","0","0","--","--","--","--"," ","0.00","46.31","1","46.43","10","0.00",
"0059","富邦金融","6,000","6","241,040","40.15","40.20","40.15","40.20","X","0.00","40.13","1","40.30","1","0.00",
"0061","元大寶滬深","2,242,827","432","43,257,074","19.19","19.40","19.12","19.36","+","0.27","19.36","96","19.37","20","0.00",
"006203","元大MSCI台灣","2,000","2","75,790","37.88","37.91","37.88","37.91","-","0.19","37.99","50","38.28","2","0.00",
"006204","永豐臺灣加權","38,187","10","2,024,117","53.05","53.20","52.95","53.20","+","0.25","53.10","20","53.20","1","0.00",
"006205","富邦上証","3,780,995","589","122,603,448","32.10","32.55","32.10","32.55","+","0.53","32.53","5","32.55","43","0.00",
"006206","元大上證50","1,953,400","396","64,006,080","32.40","32.88","32.40","32.88","+","0.48","32.87","9","32.88","30","0.00",
"006207","FH滬深","711,372","190","17,529,305","24.37","24.70","24.37","24.70","+","0.38","24.69","54","24.70","48","0.00",
"006208","富邦台50","4,380","10","204,587","46.70","46.73","46.70","46.73","+","0.07","46.73","1","46.99","2","0.00",
"00625K","富邦上証+R","50,000","2","358,000","7.16","7.16","7.16","7.16","+","0.13","7.15","50","7.25","20","0.00",
