"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"00637L","元大滬深300正2  ","8,510,000","51,000","8,459,000","0","0","0","0","0","0","37,572,000","461,000","120,000","341,000","49,887,000","12,656,000","37,231,000","46,031,000",
"2603","長榮            ","19,329,000","11,931,560","7,397,440","0","0","0","4,190,000","0","4,190,000","13,338,000","2,656,000","7,137,000","-4,481,000","18,006,000","187,000","17,819,000","24,925,440",
"00633L","富邦上証正2     ","4,191,000","0","4,191,000","0","0","0","0","0","0","6,161,000","465,000","373,000","92,000","9,340,000","3,271,000","6,069,000","10,352,000",
"2330","台積電          ","14,095,108","4,487,684","9,607,424","0","0","0","535,000","21,000","514,000","53,000","332,000","58,000","274,000","2,000","223,000","-221,000","10,174,424",
"2014","中鴻            ","1,935,000","1,180,000","755,000","0","0","0","864,000","0","864,000","7,723,000","8,973,000","1,250,000","7,723,000","0","0","0","9,342,000",
"3481","群創            ","11,260,220","4,990,492","6,269,728","0","0","0","0","0","0","63,000","400,000","0","400,000","107,000","444,000","-337,000","6,332,728",
"6120","達運            ","7,320,000","2,048,099","5,271,901","0","0","0","0","0","0","733,000","890,000","190,000","700,000","216,000","183,000","33,000","6,004,901",
"2344","華邦電          ","7,317,512","913,729","6,403,783","0","0","0","0","0","0","-530,000","46,000","124,000","-78,000","675,000","1,127,000","-452,000","5,873,783",
"00655L","國泰中國A50正2  ","835,000","0","835,000","0","0","0","0","0","0","5,017,000","150,000","0","150,000","6,846,000","1,979,000","4,867,000","5,852,000",
"065085","滬深2X群益73購03","0","0","0","0","0","0","0","0","0","5,816,000","0","0","0","9,686,000","3,870,000","5,816,000","5,816,000",
"2618","長榮航          ","4,682,000","1,088,507","3,593,493","0","0","0","0","0","0","2,151,000","1,253,000","972,000","281,000","2,719,000","849,000","1,870,000","5,744,493",
"2609","陽明            ","9,509,000","1,731,000","7,778,000","0","0","0","350,000","0","350,000","-2,395,000","400,000","2,795,000","-2,395,000","0","0","0","5,733,000",
"1326","台化            ","3,896,618","875,767","3,020,851","0","0","0","1,434,000","0","1,434,000","601,000","657,000","0","657,000","0","56,000","-56,000","5,055,851",
"069022","滬深2X群益75購02","0","0","0","0","0","0","0","0","0","4,762,000","0","0","0","6,056,000","1,294,000","4,762,000","4,762,000",
"062112","大立光永豐76購04","0","0","0","0","0","0","0","0","0","4,673,000","0","0","0","4,738,000","65,000","4,673,000","4,673,000",
"2481","強茂            ","2,189,000","1,830,000","359,000","0","0","0","2,977,000","0","2,977,000","837,000","360,000","142,000","218,000","671,000","52,000","619,000","4,173,000",
"060184","鴻海群益73購01  ","0","0","0","0","0","0","0","0","0","4,162,000","0","0","0","4,712,000","550,000","4,162,000","4,162,000",
